site.id,lat,lon,source,unique.site,ISLAND,STATE,COUNTRY,min_SST,prod,complexity,IslType,wave,arag,depth,cropper,browser,scraper.excavator,total_herb,ratiopq,fleshypq,reefbuilderpq,log10ratiopq
KUR-188,28.42410763,181.7139466,CRED.nSPC,KUR-188 10-09-20 nSPC,Kure,Uninhabited,HI,18.64500046,570.2866952,0.946735158,atoll,0,3.53895402,10,138.9568571,41.918,186.08,409.33,0.197802198,0.834862385,0.165137615,-0.703768887
KUR-168,28.38486146,181.6642763,CRED.nSPC,KUR-168 10-09-18 nSPC,Kure,Uninhabited,HI,18.69599915,574.1585977,0.719063239,atoll,30236.95365,3.53895402,11,18.71142857,103.16,57.82485714,206.1505714,0.152941176,0.867346939,0.132653061,-0.815475573
KUR-171,28.3847701,181.6386524,CRED.nSPC,KUR-171 10-09-18 nSPC,Kure,Uninhabited,HI,18.69599915,558.828252,0.487596788,atoll,240286.4666,3.53895402,28,6.526571429,0,3.107428571,9.634,1.00E-05,1,1.00E-05,-5
KUR-192,28.38306614,181.699735,CRED.nSPC,KUR-192 10-09-18 nSPC,Kure,Uninhabited,HI,18.6989994,554.396575,0.572873901,atoll,47586.55707,3.53895402,11,9.700571429,0,0,9.700571429,0.09919571,0.909756098,0.090243902,-1.003507108
KUR-194,28.38047706,181.6703314,CRED.nSPC,KUR-194 10-09-18 nSPC,Kure,Uninhabited,HI,18.6989994,574.1585977,0.653398998,atoll,46064.58205,3.53895402,26,33.24571429,0,87.97028571,121.216,0.194366197,0.837264151,0.162735849,-0.711379262
KUR-241,28.38440247,181.6925616,CRED.nSPC,KUR-241 10-09-19 nSPC,Kure,Uninhabited,HI,18.6989994,554.396575,0.660247993,atoll,0,3.53895402,4.5,17.952,98.75914286,82.852,199.5631429,0.1328125,0.882758621,0.117241379,-0.876761048
MID-218,28.26475,182.59105,CRED.nSPC,MID-218 11-08-04 nSPC,Midway,Uninhabited,HI,19.02000046,584.3121865,0.95052969,atoll,321159.9024,3.510068178,15.3,203.61,13.74714286,107.7794286,409.33,0.07712766,0.928395062,0.071604938,-1.112789847
MID-217,28.26826,182.59677,CRED.nSPC,MID-217 11-08-04 nSPC,Midway,Uninhabited,HI,18.99600029,584.3121865,0.95052969,atoll,321860.8024,3.510068178,13.95,9.119714286,0,82.12628571,91.246,0.320261438,0.757425743,0.242574257,-0.494495351
MID-215,28.28068,182.63924,CRED.nSPC,MID-215 11-08-04 nSPC,Midway,Uninhabited,HI,18.95700073,590.9929527,0.719063239,atoll,346643.4216,3.510068178,12.8,42.76028571,0,0,42.76028571,0.010869565,0.989247312,0.010752688,-1.963787827
MID-416,28.26686,182.66631,CRED.nSPC,MID-416 11-08-03 nSPC,Midway,Uninhabited,HI,18.95700073,603.6100687,0.719063239,atoll,268051.7671,3.510068178,21,5.756,0,26.016,31.772,0.041262136,0.96037296,0.03962704,-1.384448295
MID-216,28.2812,182.64214,CRED.nSPC,MID-216 11-08-04 nSPC,Midway,Uninhabited,HI,18.95700073,590.9929527,0.487596788,atoll,350661.3154,3.510068178,13.45,102.796,103.16,118.83,409.33,0.020454545,0.979955457,0.020044543,-1.689210167
MID-219,28.23194,182.58336,CRED.nSPC,MID-219 11-08-04 nSPC,Midway,Uninhabited,HI,18.98399925,585.5297849,0.719063239,atoll,0,3.510068178,8.6,203.61,103.16,186.08,409.33,0.071823204,0.932989691,0.067010309,-1.143735223
MID-222,28.21574,182.56949,CRED.nSPC,MID-222 11-08-05 nSPC,Midway,Uninhabited,HI,18.98399925,585.5297849,0.487596788,atoll,299815.477,3.510068178,24.75,9.363142857,103.16,33.48885714,207.8177143,0.170731707,0.854166667,0.145833333,-0.767685817
MID-212,28.25317,182.59361,CRED.nSPC,MID-212 11-08-04 nSPC,Midway,Uninhabited,HI,19.04400063,597.4928481,0.719063239,atoll,0,3.510068178,3,197.5137143,56.34685714,107.6794286,361.54,0.067307692,0.936936937,0.063063063,-1.171935299
MID-213,28.23143,182.68471,CRED.nSPC,MID-213 11-08-03 nSPC,Midway,Uninhabited,HI,18.96299934,572.2653365,0.719063239,atoll,0,3.510068178,5.95,9.991714286,43.89885714,37.30285714,91.19342857,0.142857143,0.875,0.125,-0.84509804
